,algo_volatility,algorithm_period_return,alpha,benchmark_period_return,benchmark_volatility,beta,capital_used,ending_cash,ending_exposure,ending_value,excess_return,gross_leverage,long_exposure,long_mavg,long_value,longs_count,max_drawdown,max_leverage,net_leverage,orders,period_close,period_label,period_open,pnl,portfolio_value,positions,price,returns,sharpe,short_exposure,short_mavg,short_value,shorts_count,sortino,starting_cash,starting_exposure,starting_value,trading_days,transactions,treasury_period_return
2015-01-02 21:00:00+00:00,,0.0,,-0.0005355401550823924,,,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,112.15,0.0,0,0.0,0.0,0.0,[],2015-01-02 21:00:00+00:00,2015-01,2015-01-02 14:31:00+00:00,0.0,10000.0,[],109.33,0.0,,0.0,112.09714285714287,0.0,0,,10000.0,0.0,0.0,1,[],0.0
2015-01-05 21:00:00+00:00,0.0,0.0,0.0,-0.01858538137029453,0.19670610518411002,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,112.02583333333332,0.0,0,0.0,0.0,0.0,[],2015-01-05 21:00:00+00:00,2015-01,2015-01-05 14:31:00+00:00,0.0,10000.0,[],106.25,0.0,,0.0,111.5411111111111,0.0,0,,10000.0,0.0,0.0,2,[],0.0
2015-01-06 21:00:00+00:00,0.0,0.0,0.0,-0.027829315478518524,0.139096675679481,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,112.06961538461539,0.0,0,0.0,0.0,0.0,[],2015-01-06 21:00:00+00:00,2015-01,2015-01-06 14:31:00+00:00,0.0,10000.0,[],106.26,0.0,,0.0,111.08272727272728,0.0,0,,10000.0,0.0,0.0,3,[],0.0
2015-01-07 21:00:00+00:00,0.0,0.0,0.0,-0.015714740130052363,0.20697103531863922,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,112.16285714285713,0.0,0,0.0,0.0,0.0,[],2015-01-07 21:00:00+00:00,2015-01,2015-01-07 14:31:00+00:00,0.0,10000.0,[],107.75,0.0,,0.0,110.94692307692307,0.0,0,,10000.0,0.0,0.0,4,[],0.0
2015-01-08 21:00:00+00:00,0.0,0.0,0.0,0.0017510650835119712,0.23603793916823199,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,112.33500000000001,0.0,0,0.0,0.0,0.0,[],2015-01-08 21:00:00+00:00,2015-01,2015-01-08 14:31:00+00:00,0.0,10000.0,[],111.89,0.0,,0.0,110.90733333333334,0.0,0,,10000.0,0.0,0.0,5,[],0.0
2015-01-09 21:00:00+00:00,0.0,0.0,0.0,-0.006276301174851007,0.2181083689729134,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,112.52140625000001,0.0,0,0.0,0.0,0.0,[],2015-01-09 21:00:00+00:00,2015-01,2015-01-09 14:31:00+00:00,0.0,10000.0,[],112.01,0.0,,0.0,110.72735294117648,0.0,0,,10000.0,0.0,0.0,6,[],0.0
2015-01-12 21:00:00+00:00,0.0,0.0,0.0,-0.014060666739671213,0.20331870537511806,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,112.54132352941177,0.0,0,0.0,0.0,0.0,[],2015-01-12 21:00:00+00:00,2015-01,2015-01-12 14:31:00+00:00,0.0,10000.0,[],109.25,0.0,,0.0,110.51789473684211,0.0,0,,10000.0,0.0,0.0,7,[],0.0
2015-01-13 21:00:00+00:00,0.0,0.0,0.0,-0.01683379482606684,0.1882987022086733,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,112.58152777777778,0.0,0,0.0,0.0,0.0,[],2015-01-13 21:00:00+00:00,2015-01,2015-01-13 14:31:00+00:00,0.0,10000.0,[],110.22,0.0,,0.0,110.46619047619048,0.0,0,,10000.0,0.0,0.0,8,[],0.0
2015-01-14 21:00:00+00:00,0.0,0.0,0.0,-0.022769582153528423,0.1773912452301049,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,112.56328947368422,0.0,0,0.0,0.0,0.0,[],2015-01-14 21:00:00+00:00,2015-01,2015-01-14 14:31:00+00:00,0.0,10000.0,[],109.8,0.0,,0.0,110.48739130434782,0.0,0,,10000.0,0.0,0.0,9,[],0.0
2015-01-15 21:00:00+00:00,0.0,0.0,0.0,-0.031722019721644235,0.17055547239976587,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,112.49237500000001,0.0,0,0.0,0.0,0.0,[],2015-01-15 21:00:00+00:00,2015-01,2015-01-15 14:31:00+00:00,0.0,10000.0,[],106.82000000000001,0.0,,0.0,110.39920000000001,0.0,0,,10000.0,0.0,0.0,10,[],0.0
2015-01-16 21:00:00+00:00,0.0,0.0,0.0,-0.01902340837153027,0.17959109758476263,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,112.37321428571428,0.0,0,0.0,0.0,0.0,[],2015-01-16 21:00:00+00:00,2015-01,2015-01-16 14:31:00+00:00,0.0,10000.0,[],105.99000000000001,0.0,,0.0,110.37370370370371,0.0,0,,10000.0,0.0,0.0,11,[],0.0
2015-01-20 21:00:00+00:00,0.0,0.0,0.0,-0.016955295172838114,0.17211412127914083,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,112.33125000000001,0.0,0,0.0,0.0,0.0,[],2015-01-20 21:00:00+00:00,2015-01,2015-01-20 14:31:00+00:00,0.0,10000.0,[],108.72,0.0,,0.0,110.38655172413793,0.0,0,,10000.0,0.0,0.0,12,[],0.0
